inst#,actual,predicted,error,prediction
1134,3:nublado,2:parcialmente_nublado,+,0.57
1135,2:parcialmente_nublado,1:lluvioso,+,0.96
1136,3:nublado,3:nublado,,0.68
1137,1:lluvioso,2:parcialmente_nublado,+,0.61
1138,3:nublado,3:nublado,,0.97
1139,1:lluvioso,1:lluvioso,,0.95
1140,3:nublado,3:nublado,,0.59
1141,1:lluvioso,1:lluvioso,,0.86
1142,3:nublado,3:nublado,,0.61
1143,2:parcialmente_nublado,2:parcialmente_nublado,,0.483
1144,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
1145,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
1146,3:nublado,3:nublado,,0.55
1147,2:parcialmente_nublado,1:lluvioso,+,0.95
1148,1:lluvioso,3:nublado,+,0.51
1149,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
1150,2:parcialmente_nublado,2:parcialmente_nublado,,0.59
1151,2:parcialmente_nublado,3:nublado,+,0.89
1152,1:lluvioso,1:lluvioso,,0.87
1153,1:lluvioso,1:lluvioso,,0.98
1154,2:parcialmente_nublado,3:nublado,+,0.65
1155,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
1156,2:parcialmente_nublado,2:parcialmente_nublado,,0.8
1157,3:nublado,3:nublado,,0.75
1158,1:lluvioso,1:lluvioso,,0.49
1159,1:lluvioso,3:nublado,+,0.82
1160,3:nublado,1:lluvioso,+,0.7
1161,1:lluvioso,2:parcialmente_nublado,+,0.65
1162,3:nublado,2:parcialmente_nublado,+,0.53
1163,3:nublado,3:nublado,,0.87
1164,1:lluvioso,3:nublado,+,0.49
1165,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
1166,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
1167,3:nublado,3:nublado,,0.98
1168,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
1169,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
1170,3:nublado,3:nublado,,0.56
1171,1:lluvioso,2:parcialmente_nublado,+,0.62
1172,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
1173,1:lluvioso,1:lluvioso,,0.93
1174,3:nublado,3:nublado,,0.49
1175,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
1176,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
1177,2:parcialmente_nublado,2:parcialmente_nublado,,0.56
1178,1:lluvioso,1:lluvioso,,0.88
1179,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
1180,3:nublado,3:nublado,,0.87
1181,3:nublado,3:nublado,,0.93
1182,1:lluvioso,1:lluvioso,,0.93
1183,2:parcialmente_nublado,3:nublado,+,0.5
1184,3:nublado,3:nublado,,0.7
1185,3:nublado,3:nublado,,0.53
1186,1:lluvioso,1:lluvioso,,0.94
1187,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
1188,3:nublado,1:lluvioso,+,0.46
1189,2:parcialmente_nublado,2:parcialmente_nublado,,0.58
1190,1:lluvioso,1:lluvioso,,0.89
1191,3:nublado,3:nublado,,0.65
1192,2:parcialmente_nublado,2:parcialmente_nublado,,0.68
1193,3:nublado,3:nublado,,0.64
1194,1:lluvioso,1:lluvioso,,0.62
1195,3:nublado,3:nublado,,0.98
1196,1:lluvioso,1:lluvioso,,0.89
1197,1:lluvioso,3:nublado,+,0.76
1198,2:parcialmente_nublado,2:parcialmente_nublado,,0.68
1199,3:nublado,3:nublado,,0.89
1200,3:nublado,1:lluvioso,+,0.64
1201,1:lluvioso,1:lluvioso,,0.56
1202,3:nublado,2:parcialmente_nublado,+,0.49
1203,3:nublado,3:nublado,,0.82
1204,3:nublado,3:nublado,,0.52
1205,3:nublado,3:nublado,,0.98
1206,1:lluvioso,1:lluvioso,,0.62
1207,1:lluvioso,1:lluvioso,,0.95
1208,3:nublado,3:nublado,,0.61
1209,2:parcialmente_nublado,2:parcialmente_nublado,,0.91
1210,3:nublado,1:lluvioso,+,0.62
1211,2:parcialmente_nublado,2:parcialmente_nublado,,0.8
1212,3:nublado,3:nublado,,0.62
1213,1:lluvioso,1:lluvioso,,0.47
1214,2:parcialmente_nublado,2:parcialmente_nublado,,0.53
1215,3:nublado,3:nublado,,0.8
1216,2:parcialmente_nublado,1:lluvioso,+,0.65
1217,1:lluvioso,1:lluvioso,,0.9
1218,3:nublado,2:parcialmente_nublado,+,0.49
1219,3:nublado,2:parcialmente_nublado,+,0.6
1220,1:lluvioso,3:nublado,+,0.71
1221,3:nublado,3:nublado,,0.65
1222,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
1223,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
1224,3:nublado,3:nublado,,0.97
1225,3:nublado,3:nublado,,0.77
1226,1:lluvioso,1:lluvioso,,0.93
1227,3:nublado,3:nublado,,0.79
1228,3:nublado,1:lluvioso,+,0.78
1229,3:nublado,2:parcialmente_nublado,+,0.48
1230,3:nublado,3:nublado,,0.93
1231,1:lluvioso,1:lluvioso,,0.93
1232,3:nublado,3:nublado,,0.8
1233,1:lluvioso,3:nublado,+,0.92
1234,3:nublado,2:parcialmente_nublado,+,0.84
1235,2:parcialmente_nublado,3:nublado,+,0.48
1236,1:lluvioso,2:parcialmente_nublado,+,0.52
1237,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
1238,3:nublado,3:nublado,,0.95
1239,1:lluvioso,1:lluvioso,,0.92
1240,1:lluvioso,1:lluvioso,,0.78
1241,3:nublado,3:nublado,,0.6
1242,3:nublado,3:nublado,,0.49
1243,3:nublado,3:nublado,,0.97
1244,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
1245,1:lluvioso,1:lluvioso,,0.99
1246,1:lluvioso,1:lluvioso,,0.8
1247,2:parcialmente_nublado,2:parcialmente_nublado,,0.98
1248,2:parcialmente_nublado,2:parcialmente_nublado,,0.46
1249,3:nublado,3:nublado,,0.78
1250,3:nublado,3:nublado,,0.79
1251,3:nublado,2:parcialmente_nublado,+,0.55
1252,3:nublado,3:nublado,,0.9
1253,3:nublado,3:nublado,,0.44
1254,3:nublado,3:nublado,,0.64
1255,3:nublado,3:nublado,,0.85
1256,2:parcialmente_nublado,2:parcialmente_nublado,,0.78
1257,2:parcialmente_nublado,2:parcialmente_nublado,,1
1258,1:lluvioso,1:lluvioso,,0.96
1259,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
1260,1:lluvioso,2:parcialmente_nublado,+,0.46
1261,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
1262,1:lluvioso,1:lluvioso,,0.76
1263,3:nublado,3:nublado,,0.9
1264,3:nublado,3:nublado,,0.61
1265,1:lluvioso,3:nublado,+,0.55
1266,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
1267,3:nublado,3:nublado,,0.75
1268,3:nublado,2:parcialmente_nublado,+,0.45
