inst#,actual,predicted,error,prediction
775,1:lluvioso,3:nublado,+,0.59
776,1:lluvioso,1:lluvioso,,0.75
777,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
778,1:lluvioso,1:lluvioso,,0.92
779,3:nublado,3:nublado,,0.82
780,2:parcialmente_nublado,2:parcialmente_nublado,,0.42
781,3:nublado,2:parcialmente_nublado,+,0.67
782,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
783,3:nublado,3:nublado,,0.51
784,3:nublado,3:nublado,,0.97
785,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
786,1:lluvioso,1:lluvioso,,0.9
787,1:lluvioso,2:parcialmente_nublado,+,0.69
788,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
789,1:lluvioso,2:parcialmente_nublado,+,0.51
790,3:nublado,3:nublado,,0.74
791,1:lluvioso,1:lluvioso,,0.55
792,3:nublado,3:nublado,,0.52
793,1:lluvioso,1:lluvioso,,0.88
794,1:lluvioso,1:lluvioso,,0.66
795,3:nublado,3:nublado,,0.42
796,1:lluvioso,3:nublado,+,0.55
797,2:parcialmente_nublado,2:parcialmente_nublado,,0.6
798,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
799,2:parcialmente_nublado,2:parcialmente_nublado,,0.69
800,2:parcialmente_nublado,1:lluvioso,+,0.55
801,1:lluvioso,1:lluvioso,,0.99
802,1:lluvioso,2:parcialmente_nublado,+,0.63
803,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
804,1:lluvioso,1:lluvioso,,0.84
805,2:parcialmente_nublado,2:parcialmente_nublado,,0.96
806,1:lluvioso,1:lluvioso,,0.64
807,3:nublado,3:nublado,,0.98
808,2:parcialmente_nublado,3:nublado,+,0.55
809,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
810,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
811,1:lluvioso,1:lluvioso,,0.58
812,1:lluvioso,1:lluvioso,,0.76
813,3:nublado,2:parcialmente_nublado,+,0.86
814,3:nublado,3:nublado,,0.9
815,1:lluvioso,1:lluvioso,,0.75
816,1:lluvioso,1:lluvioso,,0.91
817,2:parcialmente_nublado,3:nublado,+,0.51
818,3:nublado,3:nublado,,0.5
819,1:lluvioso,1:lluvioso,,0.94
820,1:lluvioso,1:lluvioso,,0.75
821,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
822,2:parcialmente_nublado,3:nublado,+,0.59
823,1:lluvioso,3:nublado,+,0.57
824,2:parcialmente_nublado,2:parcialmente_nublado,,0.53
825,3:nublado,3:nublado,,0.75
826,2:parcialmente_nublado,1:lluvioso,+,0.72
827,1:lluvioso,3:nublado,+,0.85
828,2:parcialmente_nublado,2:parcialmente_nublado,,0.82
829,1:lluvioso,1:lluvioso,,0.79
830,1:lluvioso,1:lluvioso,,0.82
831,2:parcialmente_nublado,2:parcialmente_nublado,,0.44
832,1:lluvioso,1:lluvioso,,0.64
833,1:lluvioso,1:lluvioso,,0.9
834,3:nublado,3:nublado,,0.56
835,1:lluvioso,1:lluvioso,,0.62
836,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
837,3:nublado,3:nublado,,0.57
838,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
839,3:nublado,3:nublado,,0.89
840,1:lluvioso,1:lluvioso,,0.64
841,2:parcialmente_nublado,2:parcialmente_nublado,,0.43
842,3:nublado,1:lluvioso,+,0.79
843,3:nublado,3:nublado,,0.9
844,1:lluvioso,1:lluvioso,,0.97
845,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
846,2:parcialmente_nublado,1:lluvioso,+,0.81
847,1:lluvioso,3:nublado,+,0.53
848,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
849,3:nublado,3:nublado,,0.48
850,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
851,2:parcialmente_nublado,2:parcialmente_nublado,,0.54
852,1:lluvioso,1:lluvioso,,0.52
853,1:lluvioso,1:lluvioso,,0.67
854,3:nublado,3:nublado,,0.77
855,2:parcialmente_nublado,2:parcialmente_nublado,,0.97
856,2:parcialmente_nublado,3:nublado,+,0.65
857,1:lluvioso,1:lluvioso,,0.66
858,2:parcialmente_nublado,1:lluvioso,+,0.92
859,2:parcialmente_nublado,2:parcialmente_nublado,,0.74
860,3:nublado,3:nublado,,0.67
861,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
862,3:nublado,3:nublado,,0.63
863,1:lluvioso,1:lluvioso,,0.91
864,2:parcialmente_nublado,2:parcialmente_nublado,,0.8
865,3:nublado,3:nublado,,0.76
866,3:nublado,2:parcialmente_nublado,+,0.8
867,3:nublado,2:parcialmente_nublado,+,0.53
868,2:parcialmente_nublado,2:parcialmente_nublado,,0.64
869,1:lluvioso,1:lluvioso,,0.82
870,1:lluvioso,1:lluvioso,,0.88
871,3:nublado,3:nublado,,0.84
872,1:lluvioso,1:lluvioso,,0.91
873,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
874,1:lluvioso,3:nublado,+,0.75
875,3:nublado,3:nublado,,0.67
876,3:nublado,3:nublado,,0.46
877,1:lluvioso,1:lluvioso,,0.96
878,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
879,3:nublado,2:parcialmente_nublado,+,0.54
880,3:nublado,1:lluvioso,+,0.49
881,2:parcialmente_nublado,3:nublado,+,0.56
882,1:lluvioso,1:lluvioso,,0.83
883,2:parcialmente_nublado,1:lluvioso,+,0.95
884,1:lluvioso,1:lluvioso,,0.94
885,3:nublado,3:nublado,,0.82
886,2:parcialmente_nublado,2:parcialmente_nublado,,0.87
887,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
888,3:nublado,3:nublado,,0.5
889,3:nublado,3:nublado,,0.55
890,1:lluvioso,1:lluvioso,,0.39
891,3:nublado,3:nublado,,0.94
892,2:parcialmente_nublado,2:parcialmente_nublado,,0.65
893,2:parcialmente_nublado,3:nublado,+,0.59
894,3:nublado,3:nublado,,0.82
895,3:nublado,3:nublado,,0.61
896,2:parcialmente_nublado,3:nublado,+,0.51
897,1:lluvioso,2:parcialmente_nublado,+,0.61
898,2:parcialmente_nublado,2:parcialmente_nublado,,0.9
899,2:parcialmente_nublado,1:lluvioso,+,0.43
900,1:lluvioso,1:lluvioso,,0.91
901,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
902,3:nublado,3:nublado,,0.44
903,2:parcialmente_nublado,3:nublado,+,0.46
904,2:parcialmente_nublado,2:parcialmente_nublado,,0.63
905,3:nublado,3:nublado,,0.74
906,1:lluvioso,1:lluvioso,,0.67
907,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
908,1:lluvioso,3:nublado,+,0.37
909,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
910,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
911,3:nublado,3:nublado,,0.77
912,1:lluvioso,1:lluvioso,,0.91
913,2:parcialmente_nublado,2:parcialmente_nublado,,0.71
914,2:parcialmente_nublado,2:parcialmente_nublado,,0.68
915,1:lluvioso,1:lluvioso,,0.77
916,3:nublado,3:nublado,,0.84
917,2:parcialmente_nublado,2:parcialmente_nublado,,0.49
918,2:parcialmente_nublado,2:parcialmente_nublado,,0.95
919,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
920,2:parcialmente_nublado,2:parcialmente_nublado,,0.76
921,1:lluvioso,1:lluvioso,,0.66
922,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
923,1:lluvioso,2:parcialmente_nublado,+,0.55
924,3:nublado,2:parcialmente_nublado,+,0.86
925,2:parcialmente_nublado,2:parcialmente_nublado,,0.86
926,2:parcialmente_nublado,2:parcialmente_nublado,,0.59
927,1:lluvioso,3:nublado,+,0.54
928,3:nublado,3:nublado,,0.53
929,2:parcialmente_nublado,2:parcialmente_nublado,,0.69
930,3:nublado,3:nublado,,0.94
931,1:lluvioso,2:parcialmente_nublado,+,0.48
932,3:nublado,3:nublado,,0.9
933,1:lluvioso,1:lluvioso,,0.72
934,3:nublado,3:nublado,,0.43
935,2:parcialmente_nublado,2:parcialmente_nublado,,0.99
936,1:lluvioso,1:lluvioso,,0.79
937,3:nublado,1:lluvioso,+,0.61
938,3:nublado,3:nublado,,0.69
939,2:parcialmente_nublado,2:parcialmente_nublado,,0.92
940,3:nublado,3:nublado,,0.67
941,3:nublado,2:parcialmente_nublado,+,0.47
942,1:lluvioso,2:parcialmente_nublado,+,0.49
943,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
944,3:nublado,1:lluvioso,+,0.79
945,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
946,3:nublado,3:nublado,,0.87
947,3:nublado,3:nublado,,0.89
948,2:parcialmente_nublado,1:lluvioso,+,0.64
949,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
